X;CountryCode;PlasticsEuropeReg
Aruba;ABW;Central & South America
Afghanistan;AFG;Rest of Asia
Angola;AGO;Middle East, Africa
Anguilla;AIA;Central & South America
Aland Islands;ALA;EU27+3
Albania;ALB;Rest
Andorra;AND;EU27+3
United Arab Emirates;ARE;Middle East, Africa
Argentina;ARG;Central & South America
Armenia;ARM;CIS
American Samoa;ASM;Rest of Asia
Antarctica;ATA;Rest
French Southern Territories;ATF;Rest
Antigua and Barbuda;ATG;Central & South America
Australia;AUS;Rest of Asia
Austria;AUT;EU27+3
Azerbaijan;AZE;CIS
Burundi;BDI;Middle East, Africa
Belgium;BEL;EU27+3
Benin;BEN;Middle East, Africa
Bonaire, Sint Eustatius and Saba;BES;Central & South America
Burkina Faso;BFA;Middle East, Africa
Bangladesh;BGD;Rest of Asia
Bulgaria;BGR;EU27+3
Bahrain;BHR;Middle East, Africa
Bahamas;BHS;Central & South America
Bosnia and Herzegovina;BIH;Rest
Saint Barthelemy;BLM;Central & South America
Belarus;BLR;CIS
Belize;BLZ;Central & South America
Bermuda;BMU;Central & South America
Bolivia, Plurinational State of;BOL;Central & South America
Brazil;BRA;Central & South America
Barbados;BRB;Central & South America
Brunei Darussalam;BRN;Rest of Asia
Bhutan;BTN;Rest of Asia
Bouvet Island;BVT;Rest
Botswana;BWA;Middle East, Africa
Central African Republic;CAF;Middle East, Africa
Canada;CAN;North America
Cocos (Keeling) Islands;CCK;Rest of Asia
Switzerland;CHE;EU27+3
Chile;CHL;Central & South America
China;CHN;China
Cote d Ivoire;CIV;Middle East, Africa
Cameroon;CMR;Middle East, Africa
Congo, the Democratic Republic of the;COD;Middle East, Africa
Congo;COG;Middle East, Africa
Cook Islands;COK;Rest of Asia
Colombia;COL;Central & South America
Comoros;COM;Middle East, Africa
Cape Verde;CPV;Middle East, Africa
Costa Rica;CRI;Central & South America
Cuba;CUB;Central & South America
Curacao;CUW;Central & South America
Christmas Island;CXR;Rest of Asia
Cayman Islands;CYM;Central & South America
Cyprus;CYP;EU27+3
Czech Republic;CZE;EU27+3
Germany;DEU;EU27+3
Djibouti;DJI;Middle East, Africa
Dominica;DMA;Central & South America
Denmark;DNK;EU27+3
Dominican Republic;DOM;Central & South America
Algeria;DZA;Middle East, Africa
Ecuador;ECU;Central & South America
Egypt;EGY;Middle East, Africa
Eritrea;ERI;Middle East, Africa
Western Sahara;ESH;Middle East, Africa
Spain;ESP;EU27+3
Estonia;EST;EU27+3
Ethiopia;ETH;Middle East, Africa
Finland;FIN;EU27+3
Fiji;FJI;Rest of Asia
Falkland Islands (Malvinas);FLK;Rest
France;FRA;EU27+3
Faroe Islands;FRO;EU27+3
Micronesia, Federated States of;FSM;Rest of Asia
Gabon;GAB;Middle East, Africa
United Kingdom;GBR;EU27+3
Georgia;GEO;Rest
Guernsey;GGY;EU27+3
Ghana;GHA;Middle East, Africa
Gibraltar;GIB;EU27+3
Guinea;GIN;Middle East, Africa
Guadeloupe;GLP;Central & South America
Gambia;GMB;Middle East, Africa
Guinea-Bissau;GNB;Middle East, Africa
Equatorial Guinea;GNQ;Middle East, Africa
Greece;GRC;EU27+3
Grenada;GRD;Central & South America
Greenland;GRL;Rest
Guatemala;GTM;Central & South America
French Guiana;GUF;Central & South America
Guam;GUM;Rest of Asia
Guyana;GUY;Central & South America
Hong Kong;HKG;China
Heard Island and McDonald Islands;HMD;Rest
Honduras;HND;Central & South America
Croatia;HRV;EU27+3
Haiti;HTI;Central & South America
Hungary;HUN;EU27+3
Indonesia;IDN;Rest of Asia
Isle of Man;IMN;EU27+3
India;IND;Rest of Asia
British Indian Ocean Territory;IOT;Rest
Ireland;IRL;EU27+3
Iran, Islamic Republic of;IRN;Middle East, Africa
Iraq;IRQ;Middle East, Africa
Iceland;ISL;EU27+3
Israel;ISR;Middle East, Africa
Italy;ITA;EU27+3
Jamaica;JAM;Central & South America
Jersey;JEY;EU27+3
Jordan;JOR;Middle East, Africa
Japan;JPN;Japan
Kazakhstan;KAZ;CIS
Kenya;KEN;Middle East, Africa
Kyrgyzstan;KGZ;CIS
Cambodia;KHM;Rest of Asia
Kiribati;KIR;Rest of Asia
Saint Kitts and Nevis;KNA;Central & South America
Korea, Republic of;KOR;Rest of Asia
